答案1: 2847/16
答案2: 2621/7
答案3: 2498/33
答案4: 497269/149520
答案5: 69/7511
答案6: 581111/146124
答案7: 58973/33768
答案8: 2438/163
答案9: 25/73
答案10: 257909/2818
答案11: 216/29
答案12: 181
答案13: 1908/27755
答案14: 8897/430
答案15: 52374/1241
答案16: 8432/247
答案17: 98
答案18: 1025/1196
答案19: 264546/47
答案20: 531/68
答案21: 88/17
答案22: 368/171
答案23: 2070/13
答案24: 5699/3552
答案25: 24702/559
答案26: 8526/13
答案27: 689/1440
答案28: 503241/4403
答案29: 840/61
答案30: 87147/20
答案31: 3842/59
答案32: 22936/69
答案33: 683/23
答案34: 2572/31
答案35: 234769/120978
答案36: 6139/45
答案37: 4437/50
答案38: 11972/49
答案39: 215600/1271
答案40: 34/39
答案41: 688/315
答案42: 473/173880
答案43: 84
答案44: 59217/96448
答案45: 2309/26
答案46: 169/644
答案47: 484288/145
答案48: 6350/531
答案49: 2436/31
答案50: 162
答案51: 5967/71
答案52: 104959/1053
答案53: 2559/34
答案54: 314315/4004
答案55: 155/252
答案56: 6786
答案57: 1066/2073
答案58: 1461/31
答案59: 41/14
答案60: 4368/85
答案61: 2/335
答案62: 425
答案63: 37/20
答案64: 11/182
答案65: 504/55
答案66: 31044/1175
答案67: 5718/115
答案68: 36047/1092
答案69: 496245/5644
答案70: 77
答案71: 37/31
答案72: 584/25
答案73: 4/39
答案74: 1709/21
答案75: 7766/83
答案76: 194582/12441
答案77: 1081/688
答案78: 119/8455
答案79: 5
答案80: 806299/2352
答案81: 10656
答案82: 2/315
答案83: 799/2870
答案84: 437/3604
答案85: 2770/2623
答案86: 106
答案87: 45306/553
答案88: 1750/143
答案89: 2247/946
答案90: 278/17
答案91: 723/46
答案92: 3301/2772
答案93: 22107/1040
答案94: 29348/42237
答案95: 22777/16380
答案96: 133/6
答案97: 167
答案98: 2015/696
答案99: 2945/49
答案100: 191784/84847
